GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jwt-lib,pro.javatar.security.jwt.utils,Base64Url,16,59,1,3,4,14,2,4,1,2
jwt-lib,pro.javatar.security.jwt.utils,Base64.OutputStream,258,0,30,0,58,0,23,0,8,0
jwt-lib,pro.javatar.security.jwt.utils,SystemPropertiesJsonParserFactory.SystemPropertiesAwareJsonParser,11,0,0,0,4,0,2,0,2,0
jwt-lib,pro.javatar.security.jwt.utils,SystemPropertiesJsonParserFactory,45,8,0,0,8,2,4,2,4,2
jwt-lib,pro.javatar.security.jwt.utils,SystemEnvProperties,24,3,4,0,5,1,4,1,2,1
jwt-lib,pro.javatar.security.jwt.utils,DerUtils,29,15,0,0,9,5,3,2,3,2
jwt-lib,pro.javatar.security.jwt.utils,JsonSerialization,53,37,2,0,14,9,11,3,10,3
jwt-lib,pro.javatar.security.jwt.utils,StringPropertyReplacer,267,0,52,0,72,0,31,0,5,0
jwt-lib,pro.javatar.security.jwt.utils,Base64.InputStream,252,0,46,0,61,0,27,0,4,0
jwt-lib,pro.javatar.security.jwt.utils,Base64.new ObjectInputStream() {...},22,0,2,0,5,0,3,0,2,0
jwt-lib,pro.javatar.security.jwt.utils,BouncyIntegration,3,10,1,1,1,3,2,2,1,2
jwt-lib,pro.javatar.security.jwt.utils,Base64,1142,4523,171,61,248,116,121,25,18,11
jwt-lib,pro.javatar.security.jwt.utils,PemUtils,70,33,5,1,25,12,8,4,5,4
jwt-lib,pro.javatar.security.jwt.utils,Time,28,7,0,0,7,1,6,1,6,1
jwt-lib,pro.javatar.security.jwt.utils,TokenUtil,89,0,12,0,20,0,14,0,8,0
jwt-lib,pro.javatar.security.jwt.exception,VerificationException,9,4,0,0,4,2,2,1,2,1
jwt-lib,pro.javatar.security.jwt.exception,Base64UtilException,12,0,0,0,6,0,3,0,3,0
jwt-lib,pro.javatar.security.jwt.exception,PemException,4,0,0,0,2,0,1,0,1,0
jwt-lib,pro.javatar.security.jwt.exception,TokenExpirationException,12,4,0,0,6,2,3,1,3,1
jwt-lib,pro.javatar.security.jwt.exception,JwtException,7,5,0,0,4,2,2,1,2,1
jwt-lib,pro.javatar.security.jwt.bean.jws.crypto,RSAProvider.new Object() {...},3,23,0,0,0,1,0,1,0,1
jwt-lib,pro.javatar.security.jwt.bean.jws.crypto,HMACProvider.new Object() {...},26,0,0,0,1,0,1,0,1,0
jwt-lib,pro.javatar.security.jwt.bean.jws.crypto,RSAProvider,63,63,3,1,17,16,5,6,2,6
jwt-lib,pro.javatar.security.jwt.bean.jws.crypto,HMACProvider,133,0,4,0,30,0,11,0,8,0
jwt-lib,pro.javatar.security.jwt.bean.jws.crypto,HashProvider.new Object() {...},26,0,0,0,1,0,1,0,1,0
jwt-lib,pro.javatar.security.jwt.bean.jws.crypto,HashProvider,67,0,4,0,18,0,8,0,5,0
jwt-lib,pro.javatar.security.jwt.adapter,AdapterRSATokenVerifier,73,0,0,0,17,0,7,0,7,0
jwt-lib,pro.javatar.security.jwt.json,StringOrArrayDeserializer,25,18,3,1,5,4,2,2,0,2
jwt-lib,pro.javatar.security.jwt.json,StringOrArraySerializer,43,3,6,0,10,1,4,1,1,1
jwt-lib,pro.javatar.security.jwt,RSATokenVerifier,10,79,0,0,3,19,2,11,2,11
jwt-lib,pro.javatar.security.jwt,TokenVerifier,26,160,2,4,8,51,3,14,1,13
jwt-lib,pro.javatar.security.jwt,TokenValidator,60,177,15,25,11,49,12,23,0,15
jwt-lib,pro.javatar.security.jwt.bean.representation,AccessToken,64,84,9,1,16,24,14,16,9,16
jwt-lib,pro.javatar.security.jwt.bean.representation,JsonWebToken,62,79,9,7,17,22,14,19,8,17
jwt-lib,pro.javatar.security.jwt.bean.representation,AccessToken.Authorization,10,0,0,0,4,0,3,0,3,0
jwt-lib,pro.javatar.security.jwt.bean.representation,RefreshToken,79,0,6,0,19,0,5,0,2,0
jwt-lib,pro.javatar.security.jwt.bean.representation,AddressClaimSet,45,0,0,0,19,0,13,0,13,0
jwt-lib,pro.javatar.security.jwt.bean.representation,Access,3,0,0,0,1,0,1,0,1,0
jwt-lib,pro.javatar.security.jwt.bean.representation,AccessToken.Access,23,24,2,2,7,7,5,5,4,4
jwt-lib,pro.javatar.security.jwt.bean.representation,Permission,67,0,2,0,18,0,8,0,7,0
jwt-lib,pro.javatar.security.jwt.bean.representation,IDToken,80,119,0,0,40,45,20,37,20,37
jwt-lib,pro.javatar.security.jwt.bean.jws,JWSHeader,37,19,0,0,12,7,5,3,5,3
jwt-lib,pro.javatar.security.jwt.bean.jws,JWSInputException,7,4,0,0,4,2,2,1,2,1
jwt-lib,pro.javatar.security.jwt.bean.jws,JWSBuilder.EncodingBuilder,299,42,0,0,69,9,9,3,9,3
jwt-lib,pro.javatar.security.jwt.bean.jws,AlgorithmType,9,39,0,0,0,4,2,2,2,2
jwt-lib,pro.javatar.security.jwt.bean.jws,Algorithm,8,148,0,0,1,16,2,4,2,4
jwt-lib,pro.javatar.security.jwt.bean.jws,JWSInput,61,106,4,4,15,23,10,7,7,6
jwt-lib,pro.javatar.security.jwt.bean.jws,JWSBuilder,72,84,4,4,17,21,8,7,4,7
