GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
security-filter,pro.javatar.security.oidc.filters,AuthenticationOAuth2RedirectAwareFilter,32,143,2,8,10,41,2,15,0,12
security-filter,pro.javatar.security.oidc.filters,AuthorizationStubFilter,54,104,0,4,8,30,3,12,3,10
security-filter,pro.javatar.security.oidc.filters,AuthenticationControllerAdviceFilter,24,160,4,4,6,43,4,11,0,11
security-filter,pro.javatar.security.oidc.filters,AuthenticationJwtBearerTokenAwareFilter,105,259,26,20,27,67,18,24,0,19
security-filter,pro.javatar.security.oidc.filters,AuthenticationRealmAwareFilter,8,375,1,27,1,101,2,38,1,25
security-filter,pro.javatar.security.oidc.services,OAuth2AuthorizationFlowService,0,94,0,0,0,24,0,12,0,12
security-filter,pro.javatar.security.oidc.services,ApplicationTokenHolder,0,21,0,0,0,5,0,3,0,3
security-filter,pro.javatar.security.oidc.services,UsersTokenService,0,71,1,7,0,21,1,8,0,5
security-filter,pro.javatar.security.oidc.services,ApplicationTokenService,22,100,2,6,5,28,2,8,0,6
security-filter,pro.javatar.security.oidc.services,OidcSecurityDetailsServiceImpl,0,40,1,7,0,14,1,7,0,4
security-filter,pro.javatar.security.oidc.services,PublicKeyCacheService,17,57,3,3,6,16,2,7,0,6
security-filter,pro.javatar.security.oidc.services,OidcAuthenticationHelper,212,366,7,31,38,99,10,39,3,27
security-filter,pro.javatar.security.oidc.services,OidcConfiguration,246,363,7,17,38,96,29,44,22,39
security-filter,pro.javatar.security.oidc.services,AuthenticationService,0,35,0,0,0,12,0,4,0,4
security-filter,pro.javatar.security.oidc.services,OnBehalfOfUsernameHolder,0,59,0,4,0,17,0,8,0,6
security-filter,pro.javatar.security.oidc.services,FilterOptionConverter,0,18,1,3,0,6,1,3,0,2
security-filter,pro.javatar.security.oidc.services,IdentityProviderServiceImpl,31,13,2,0,9,5,2,2,1,2
security-filter,pro.javatar.security.oidc.services,TokenService,3,43,1,3,1,14,1,5,0,4
security-filter,pro.javatar.security.oidc.interceptors,OidcAuthenticationHttpClientInterceptor,110,19,14,0,20,8,9,2,2,2
security-filter,pro.javatar.security.oidc.model,TokenDetails,48,115,2,8,3,34,3,24,1,21
security-filter,pro.javatar.security.oidc.model,UserKey,24,88,5,7,1,18,5,8,0,7
security-filter,pro.javatar.security.oidc.client,OAuthClient,91,466,7,13,20,96,6,20,0,16
security-filter,pro.javatar.security.oidc.filters.uri,UriPredicate,3,48,0,4,1,8,1,10,1,8
security-filter,pro.javatar.security.oidc.filters.uri,UriFilterOption,52,113,11,9,8,24,8,13,2,9
security-filter,pro.javatar.security.oidc.exceptions,RealmInJwtTokenNotFoundAuthenticationException,24,0,0,0,10,0,3,0,3,0
security-filter,pro.javatar.security.oidc.exceptions,ExpiredAuthenticationSessionException,24,0,0,0,10,0,3,0,3,0
security-filter,pro.javatar.security.oidc.exceptions,ObtainRefreshTokenException,9,15,0,0,4,6,2,1,2,1
security-filter,pro.javatar.security.oidc.exceptions,ParseTokenAuthenticationException,15,0,0,0,6,0,1,0,1,0
security-filter,pro.javatar.security.oidc.exceptions,BearerJwtTokenNotFoundAuthenticationException,9,15,0,0,4,6,2,1,2,1
security-filter,pro.javatar.security.oidc.exceptions,InvalidUserCredentialsAuthenticationException,24,0,0,0,10,0,3,0,3,0
security-filter,pro.javatar.security.oidc.exceptions,RealmNotFoundAuthenticationException,9,15,0,0,4,6,2,1,2,1
security-filter,pro.javatar.security.oidc.exceptions,PublicKeyNotFoundAuthenticationException,24,0,0,0,10,0,3,0,3,0
security-filter,pro.javatar.security.oidc.exceptions,ObtainTokenByUserCredentialAuthenticationException,9,15,0,0,4,6,2,1,2,1
security-filter,pro.javatar.security.oidc.exceptions,RealmNotFoundAuthnticationException,24,0,0,0,10,0,3,0,3,0
security-filter,pro.javatar.security.oidc.exceptions,TokenSignedForOtherRealmAuthorizationException,9,15,0,0,4,6,2,1,2,1
security-filter,pro.javatar.security.oidc.exceptions,AuthenticationException,23,40,0,0,11,16,5,8,5,8
security-filter,pro.javatar.security.oidc.exceptions,MaliciousBearerJwtTokenAuthenticationException,24,0,0,0,10,0,3,0,3,0
security-filter,pro.javatar.security.oidc.exceptions,RefreshTokenObsoleteAuthenticationException,24,0,0,0,10,0,3,0,3,0
security-filter,pro.javatar.security.oidc.exceptions,ExchangeTokenByCodeAuthenticationException,5,19,0,0,2,8,1,2,1,2
security-filter,pro.javatar.security.oidc.utils,StringUtils,3,59,0,14,2,10,1,11,1,4
security-filter,pro.javatar.security.oidc.utils,SecurityContextUtils,3,12,0,0,2,6,1,2,1,2
security-filter,pro.javatar.security.oidc.utils,JsonMessageBuilder,4,68,2,2,0,12,2,4,0,4
security-filter,pro.javatar.security.oidc.utils,UrlFilterAnalyzer,0,39,0,4,0,12,0,5,0,3
security-filter,pro.javatar.security.oidc.utils,UrlResolver,26,363,4,40,5,95,4,31,0,13
